"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000020108.5",4388.4419667259,1.82349675882852,0.35329529136974,5.16139558995748,2.45115588848926e-07,0.000142269831940604,"Ddit4","74747"
"ENSMUSG00000056666.14",30045.7885192814,2.37784115977807,0.466729842221511,5.09468421487722,3.49323024528231e-07,0.000196417786885514,"Retsat","67442"
"ENSMUSG00000061906.6",728.685227139862,-2.28426417073342,0.45377303682766,-5.03393543764252,4.80511562307901e-07,0.000261995289109275,"Ugt2b38","100559"
"ENSMUSG00000090264.2",3496.77566000606,3.75193443188656,0.746355245160862,5.02700886235201,4.98189338569062e-07,0.000263644728496269,"Eif4ebp3","108112"
"ENSMUSG00000066687.6",873.192697494522,3.40872180465004,0.68543095340331,4.97310748475103,6.58881048521921e-07,0.000338721334458712,"Zbtb16","235320"
"ENSMUSG00000071356.8",27131.3589801577,3.84076463379963,0.779389602092292,4.92791361789917,8.31123451267044e-07,0.000415400118295776,"Reg3b","18489"
"ENSMUSG00000078901.9",84.6125402473049,23.3914455641004,4.78545251958177,4.88803210738881,1.01848922794304e-06,0.00049528855887511,"Gm14440","100503353"
"ENSMUSG00000026628.14",672.006208609781,-2.36735381836672,0.48526170678725,-4.87850944192599,1.06890548035e-06,0.000506126744945724,"Atf3","11910"
"ENSMUSG00000029868.15",306.246624187562,-2.07955287870734,0.429069668279762,-4.8466555257675,1.25560163801644e-06,0.000568524512325901,"Trpv6","64177"
"ENSMUSG00000025203.7",1688.44282535749,-2.39395772861931,0.494073112295835,-4.8453511616837,1.2638793137907e-06,0.000568524512325901,"Scd2","20250"
"ENSMUSG00000096770.3",109.205411790661,-22.8803288068582,4.78520060509614,-4.78147745415128,1.74011522034538e-06,0.000763655930723766,"Amy2a4","100043684"
"ENSMUSG00000028996.10",850.862406450628,-1.8556525360634,0.39286738638783,-4.72335602383534,2.31984210230551e-06,0.000993831403494833,"Rbp7","63954"
"ENSMUSG00000021226.8",3349.44158806733,2.01078487342316,0.427847453993114,4.69977057162884,2.60453932147336e-06,0.00108984827933186,"Acot2","171210"
"ENSMUSG00000021417.16",7939.22696683021,1.65323297162094,0.352613107389935,4.68851820018341,2.75190444185555e-06,0.00110934484914831,"Eci2","23986"
"ENSMUSG00000019577.7",14818.7520398824,2.895819476665,0.617860688166455,4.68684856008326,2.77444107217661e-06,0.00110934484914831,"Pdk4","27273"
"ENSMUSG00000092570.8",384.853051189313,-1.942382228439,0.415463578872404,-4.67521661877259,2.93643501084718e-06,0.00114859293804725,"Plut","70147"
"ENSMUSG00000071324.12",69.682896193994,-3.2739843844447,0.709340566516359,-4.61553242404217,3.92088817061139e-06,0.00150103278412363,"Armc2","213402"
"ENSMUSG00000050359.8",124.841327294653,-2.73600908214229,0.597001913217733,-4.58291509887414,4.58538249580744e-06,0.00168262263013108,"Sprr1a","20753"
"ENSMUSG00000074445.5",452.7330410151,-2.89830246744311,0.632830274343117,-4.57990488911355,4.65187423718303e-06,0.00168262263013108,"Sprr2a3","100042514"
"ENSMUSG00000030102.12",1257.00861452995,-2.17083081317296,0.474101315481455,-4.57883313605334,4.6757701054051e-06,0.00168262263013108,"Itpr1","16438"
"ENSMUSG00000022041.11",127.582332546441,2.91870742159136,0.640224913059047,4.55887823490894,5.14275764362694e-06,0.00181438506434862,"Chrna2","110902"
