"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000025002.6",6879.154654783,-2.07531592911545,0.423497510678086,-4.90042060883084,9.56316969190168e-07,0.00017844677466332,"Cyp2c55","72082"
"ENSMUSG00000004328.16",101.276555768053,2.31020184537813,0.472083917855312,4.89362538735366,9.89951927040074e-07,0.000182838059994136,"Hif3a","53417"
"ENSMUSG00000056025.13",402.549836706053,2.26108239835618,0.462479082692764,4.88904792232144,1.01324829444457e-06,0.000185250445751986,"Clca3a1","12722"
"ENSMUSG00000037145.15",12052.2762559587,-1.4453836152466,0.295937493161981,-4.88408413480571,1.03910701712923e-06,0.00018807837010039,"Lypd8l","78354"
"ENSMUSG00000111709.2",26502.415664075,-1.91987837371793,0.395225401420415,-4.85767960970628,1.18769385634125e-06,0.000212844146532441,"Gm3776","100042295"
"ENSMUSG00000068105.12",192.881910821491,-2.26288387317521,0.466145189648833,-4.85446149273778,1.20714322765466e-06,0.000214208749221072,"Tnfrsf13c","72049"
"ENSMUSG00000032122.16",1228.86581501244,-1.97515488995213,0.407505263413331,-4.84694326008922,1.25378266987214e-06,0.000220324915773648,"Slc37a2","56857"
"ENSMUSG00000097656.2",22.7272620946033,-7.95878028952209,1.64454169809677,-4.83951261237877,1.30157931626073e-06,0.0002265248617723,NA,NA
"ENSMUSG00000092232.2",50.5337815335009,2.96399020446507,0.612992479831935,4.83527988023231,1.32958429726452e-06,0.000229195007433217,NA,NA
"ENSMUSG00000058908.16",828.319835294132,1.4741746766593,0.305360501471526,4.82765344422505,1.381512338151e-06,0.000235899748306916,"Pla2g2a","18780"
"ENSMUSG00000066315.10",120.80970572904,-23.0747227522704,4.78518543891635,-4.82211672814416,1.42042778157944e-06,0.000240237085368006,"Gm12918","100039656"
"ENSMUSG00000066072.14",8434.72682939279,4.17949559035724,0.86706214897002,4.82029528716257,1.43345885191959e-06,0.000240237085368006,"Cyp4a10","13117"
"ENSMUSG00000004655.6",15071.2008844013,1.16042554014841,0.241909481850181,4.79694111728571,1.61106935002006e-06,0.000261592437300595,"Aqp1","11826"
"ENSMUSG00000068246.7",1462.27820163714,-1.93809188040725,0.404108347933871,-4.79597090809023,1.618887761218e-06,0.000261592437300595,"Apol9b","71898"
"ENSMUSG00000044827.11",155.852675915723,-1.91776067938775,0.399912145148706,-4.79545495842502,1.62306037278113e-06,0.000261592437300595,"Tlr1","21897"
"ENSMUSG00000025075.15",1058.58384318971,1.50035756302213,0.312895286455131,4.7950788265942,1.62610875633142e-06,0.000261592437300595,"Habp2","226243"
"ENSMUSG00000023092.17",580.69259229243,-1.60589990844596,0.335062535614764,-4.79283637455766,1.64439737616453e-06,0.000261592437300595,"Fhl1","14199"
"ENSMUSG00000037440.9",7669.58523458139,1.94071114653256,0.404952089967151,4.79244630319104,1.64759877636839e-06,0.000261592437300595,"Vnn1","22361"
"ENSMUSG00000074183.4",29994.3703654733,-1.81487662338577,0.380129447489649,-4.77436472067896,1.80275414498046e-06,0.000283737826296924,"Gsta1","14857"
"ENSMUSG00000042894.12",406.284167918155,-1.65957626286716,0.349143302568385,-4.75328110451755,2.00141772757029e-06,0.000312290179905364,"Olfr1260","258983"
"ENSMUSG00000037071.4",372.008227715581,-1.85091554415156,0.390630383489317,-4.73827849134059,2.15541463035281e-06,0.000333444485550306,"Scd1","20249"
"ENSMUSG00000046688.15",2281.96427776502,2.20419877911279,0.465438080551709,4.73575083607263,2.18245586883687e-06,0.000334766535813114,"Tifa","211550"
"ENSMUSG00000058618.7",48925.1639689467,1.30631546277389,0.276088887789224,4.73150322432093,2.22863277248383e-06,0.00033897691749544,"Defa39","382000"
"ENSMUSG00000005237.15",543.220634843179,-1.64652947024974,0.348962611060227,-4.71835497002733,2.37759374121184e-06,0.000358620389299453,"Dnah2","327954"
"ENSMUSG00000031558.16",287.545159161852,1.92869973723481,0.408985181928936,4.71581813340596,2.40741406047669e-06,0.00036011730987296,"Slit2","20563"
"ENSMUSG00000118653.2",23.5567811084926,7.99949162527398,1.69727392275614,4.71314118364813,2.43927065194642e-06,0.000361891793444509,"Gm2296","100039535"
"ENSMUSG00000097615.2",495.095909471659,-2.19453204452877,0.466056571506836,-4.70872460275261,2.49271590975383e-06,0.000366814292410929,"Gm2061","100039138"
"ENSMUSG00000105703.3",289091.806432947,1.20589747099782,0.256820988447441,4.69547866117886,2.65983135378344e-06,0.000388249576640971,NA,NA
"ENSMUSG00000031257.15",39.5789160120243,-3.70912021702651,0.790660078227971,-4.69116921312051,2.71648183726574e-06,0.000393346570036079,"Nox1","237038"
"ENSMUSG00000029868.15",398.637768698336,-2.39508694861911,0.5141663837809,-4.65819435920128,3.18994972408685e-06,0.000458238809571206,"Trpv6","64177"
"ENSMUSG00000031451.7",7331.09690324534,1.30050586823272,0.280200759314075,4.64133598858308,3.46163724687552e-06,0.000493351450145251,"Gas6","14456"
"ENSMUSG00000024863.7",397.286048004964,5.35264498881669,1.15489849631258,4.63473197506697,3.57400246505802e-06,0.000500702021672003,"Mbl2","17195"
"ENSMUSG00000041644.15",2915.72657722829,2.19994326271825,0.474787835831316,4.63352911909869,3.59484167235719e-06,0.000500702021672003,"Slc5a12","241612"
"ENSMUSG00000029311.17",33470.6346067829,1.4121922669178,0.304781970150934,4.63345081147175,3.59620236560002e-06,0.000500702021672003,"Hsd17b11","114664"
"ENSMUSG00000038541.9",94.0031357980131,2.20723333200386,0.478099929912249,4.61667779873755,3.89931956218398e-06,0.00053876094714145,"Srd5a2","94224"
"ENSMUSG00000094777.3",3809.46266716986,-1.21366937970075,0.263990216557148,-4.59740287170082,4.27789943349149e-06,0.000586590755652999,"H2ac24","319171"
"ENSMUSG00000006642.4",485.047523433191,1.54832425352432,0.338094313382552,4.5795631344216,4.65948128695547e-06,0.000634109859352586,"Tcf23","69852"
"ENSMUSG00000033855.16",385.313079120167,1.43784860292805,0.314089629601138,4.57782896160556,4.69826589598999e-06,0.000634616512816558,"Ston1","77057"
"ENSMUSG00000067341.7",129.480637512473,-2.18075266938649,0.47663620122817,-4.57529802345531,4.75542552555987e-06,0.000637579274167656,"H2-Eb2","381091"
"ENSMUSG00000026003.6",13142.9723803687,1.18885070850861,0.261629430793892,4.54402513089276,5.51900736901862e-06,0.000734514951317919,"Acadl","11363"
"ENSMUSG00000095134.3",19.00880886483,-7.70088648718627,1.69578368494608,-4.54119623602294,5.59359360395232e-06,0.000739007622128008,NA,NA
"ENSMUSG00000042474.7",247.798695947697,-2.05355551485751,0.453892095513952,-4.52432535211309,6.05884601484019e-06,0.000794674730931938,"Fcmr","69169"
"ENSMUSG00000110631.2",2127.39121480129,1.1848048555121,0.262087580770716,4.52064478609772,6.16515620404101e-06,0.000802800915778003,NA,NA
"ENSMUSG00000027204.14",62.0723730741575,-3.1041942786351,0.686966704527454,-4.51869684247708,6.22214099487313e-06,0.000804433942908597,"Fbn1","14118"
"ENSMUSG00000066191.13",321.941971322975,1.49754899468819,0.332167361852793,4.50841704114162,6.53130976272279e-06,0.000838416359611933,"Anks6","75691"
"ENSMUSG00000104340.2",39.3800431088973,-3.40037722892708,0.755482328711935,-4.50093549471181,6.76550370180596e-06,0.000862363500018929,NA,NA
"ENSMUSG00000001627.13",4562.82553621443,-1.4701871314304,0.327033723158121,-4.49552149311393,6.93996473138521e-06,0.000873517530229925,"Ifrd1","15982"
"ENSMUSG00000040592.12",462.725408138061,-1.94786306475296,0.433317931697545,-4.49522838143833,6.94953173221598e-06,0.000873517530229925,"Cd79b","15985"
"ENSMUSG00000009633.4",335.031951044581,2.19414984146045,0.489821520910996,4.47948844178928,7.48221413879324e-06,0.000933986730428673,"G0s2","14373"
"ENSMUSG00000074506.5",17.7039895071172,-7.59859353221258,1.69689525125339,-4.47793906347489,7.53671063640677e-06,0.000934345633691524,NA,NA
"ENSMUSG00000063929.7",117.590913784856,2.53981036723297,0.568565455336857,4.46705008788867,7.93055668177284e-06,0.00097648350979652,"Cyp4a32","100040843"
"ENSMUSG00000000031.17",35.7975801837475,-3.61683015193809,0.815483003580473,-4.43519991962798,9.19868835288471e-06,0.00112497472423793,"H19","14955"
"ENSMUSG00000026621.14",220.797622283803,2.02522771122839,0.458404149727266,4.41799602475965,9.96202527319656e-06,0.00121015206338831,"Mtarc1","66112"
"ENSMUSG00000020581.12",20429.7028879591,-1.20341521129413,0.272483463945522,-4.41647061391853,1.0032553265091e-05,0.00121059476065432,"Agr2","23795"
"ENSMUSG00000117226.2",123.612713800074,1.86011626890045,0.422313316896113,4.40458823930015,1.05984994675843e-05,0.0012704161613462,"Gm31235","102633401"
"ENSMUSG00000030724.8",235.671092710037,-1.96377003956398,0.44607631197133,-4.40231858734116,1.07100133031135e-05,0.00127399481191814,"Cd19","12478"
"ENSMUSG00000105353.2",6406.68785596679,1.07842696439031,0.245034410615543,4.40112456728518,1.07691274156616e-05,0.00127399481191814,NA,NA
"ENSMUSG00000022037.16",930.378325765235,4.32417716705954,0.983140588535977,4.39833042952565,1.09086808698535e-05,0.00128212418015811,"Clu","12759"
"ENSMUSG00000031613.10",18422.8560402997,1.24555971269638,0.283926882072333,4.38690307731783,1.14975992340676e-05,0.00133742293817784,"Hpgd","15446"
"ENSMUSG00000075520.6",8763.65398265181,1.36004509093567,0.310063192066642,4.38634809204748,1.15269601301515e-05,0.00133742293817784,"Malrd1","102635496"
"ENSMUSG00000043099.6",556.922192537275,-1.35647946767667,0.311400530963752,-4.35606022725301,1.32424353664591e-05,0.00152667566963637,"Hic1","15248"
"ENSMUSG00000041538.17",277.47804203298,-1.82437899728733,0.419275546742013,-4.3512649651612,1.35354362934686e-05,0.00155057846146697,"H2-Ob","15002"
"ENSMUSG00000056481.8",33.6429304402166,-4.39028493437714,1.01044146744384,-4.34491761851723,1.39327941183532e-05,0.00158606021095719,"Cd248","70445"
"ENSMUSG00000018796.14",7769.05297141212,1.09727141425184,0.252636417318334,4.3432828326932,1.40369230242721e-05,0.00158792691712079,"Acsl1","14081"
"ENSMUSG00000076587.4",45.6550987346191,-3.23872329329999,0.747653136529729,-4.33185274702744,1.4785982198636e-05,0.00166227501736219,"Igkv6-20","108024"
"ENSMUSG00000104213.6",470.627479769404,-1.87794658972047,0.434117091329258,-4.32589876609149,1.51911181973826e-05,0.00169727925538657,"Ighd","380797"
"ENSMUSG00000094006.3",54.0205053861735,-2.9464979045591,0.681543360027677,-4.32327285007874,1.53731411655702e-05,0.00170707886562467,"Igkv4-59","667683"
"ENSMUSG00000096422.3",23.2499445357142,-5.52011927828988,1.28153067052968,-4.30744219021175,1.65153240300727e-05,0.00182272783502632,"Igkv12-44","545851"
"ENSMUSG00000003849.9",2717.78816041489,-1.18001331517677,0.274471484400063,-4.29922007291953,1.71400211294773e-05,0.00188020837844569,"Nqo1","18104"
"ENSMUSG00000028028.12",334.609513134973,2.14891478515232,0.500248355100848,4.2956958543504,1.74146208566293e-05,0.00189882311749994,"Alpk1","71481"
